sample_id,query,difficulty,entropy,entropy_std,n_iterations,num_tokens
64,ensemble learning hoạt động như thế nào,trung_bình,0.06514525073214153,0.0,1,5
65,giải thích bias-variance tradeoff,trung_bình,0.00872494956116101,0.0,1,5
66,early stopping là gì,trung_bình,0.01906501248125791,0.0,1,5
67,khác biệt giữa validation và test set,trung_bình,0.030796685943177464,0.0,1,5
68,hyperparameter tuning hoạt động như thế nào,trung_bình,0.029755766508035148,0.0,1,5
69,thiết kế một mô hình deep learning để xử lý văn bản đa ngôn ngữ có dấu,khó,0.0863061042923002,0.0,1,5
70,phân tích trade-off giữa model complexity và generalization trong transformer,khó,0.4979723149619802,0.0,1,5
71,giải thích chi tiết về backpropagation trong neural network nhiều lớp có skip connections,khó,0.2076775435727566,0.0,1,5
72,"so sánh các kiến trúc GAN hiện đại: StyleGAN, BigGAN, và Progressive GAN cùng trade-offs",khó,0.17764346799215622,0.0,1,5
73,làm thế nào để optimize training của large language model với limited computational resources,khó,0.008865757853810576,0.0,1,5
74,phân tích các kỹ thuật regularization trong deep learning và khi nào dùng technique nào,khó,0.41352767912971966,0.0,1,5
75,thiết kế transformer architecture tối ưu cho ngôn ngữ low-resource,khó,0.36202888366854513,0.0,1,5
76,giải thích nền tảng toán học của self-attention mechanism trong transformer,khó,0.3901011111752667,0.0,1,5
77,"so sánh các thuật toán optimization: Adam, SGD, và RMSprop cùng trade-offs và use cases",khó,0.5023155577807008,0.0,1,5
78,"phân tích mối quan hệ giữa batch size, learning rate và training stability trong deep learning",khó,0.14720396525758037,0.0,1,5
79,thiết kế một hệ thống end-to-end cho real-time object detection sử dụng deep learning,khó,0.20872895751779014,0.0,1,5
80,giải thích cách xử lý class imbalance trong multi-class classification problems,khó,0.31620172234204846,0.0,1,5
81,phân tích tác động của các loss functions khác nhau lên training convergence và model performance,khó,0.4667262349798752,0.0,1,5
82,thiết kế một chiến lược neural architecture search cho automated model design,khó,0.26373134751207034,0.0,1,5
83,giải thích các nguyên tắc toán học đằng sau variational autoencoders,khó,0.02024605488248664,0.0,1,5
84,"so sánh các approaches khác nhau cho sequence-to-sequence learning: attention, transformers, và CNNs",khó,0.5788996135978615,0.0,1,5
85,phân tích các challenges và solutions cho training deep neural networks trên small datasets,khó,0.1699249465554295,0.0,1,5
86,giải thích cách implement gradient clipping để prevent exploding gradients trong RNNs,khó,0.18504792718574742,0.0,1,5
87,thiết kế một multi-task learning framework chia sẻ knowledge giữa các related tasks,khó,0.15210436652403622,0.0,1,5
88,phân tích các theoretical guarantees và limitations của các deep learning architectures khác nhau,khó,0.4792029298116902,0.0,1,5
89,giải thích cách sử dụng knowledge distillation để compress large models thành smaller ones,khó,0.10967848245929626,0.0,1,5
90,so sánh các approaches khác nhau để xử lý missing data trong deep learning pipelines,khó,0.565383011186005,0.0,1,5
91,phân tích vai trò của các activation functions khác nhau trong addressing vanishing gradient problem,khó,0.5446648513341925,0.0,1,5
92,thiết kế một federated learning system cho training models trên distributed data sources,khó,0.24078121875891897,0.0,1,5
93,giải thích cách implement curriculum learning để improve model training,khó,0.16831938532164611,0.0,1,5
94,so sánh các strategies khác nhau để xử lý imbalanced datasets trong deep learning,khó,0.24188656851551862,0.0,1,5
95,phân tích tác động của các normalization techniques khác nhau lên model performance,khó,0.31443795347130205,0.0,1,5
96,thiết kế một system cho online learning adapt với changing data distributions,khó,0.2550762347854405,0.0,1,5
97,giải thích nền tảng toán học của generative adversarial networks,khó,0.008874611902245788,0.0,1,5
98,phân tích trade-offs giữa model interpretability và performance trong deep learning,khó,0.23044087474806724,0.0,1,5
99,thiết kế một neural architecture có thể xử lý cả image và text inputs đồng thời,khó,0.1717186406733607,0.0,1,5
100,giải thích cách implement continual learning để prevent catastrophic forgetting,khó,0.27661075326700174,0.0,1,5
101,"so sánh các approaches khác nhau cho model compression: pruning, quantization, và distillation",khó,0.5538124682905785,0.0,1,5
