sample_id,m1_latency,m2_latency,m3_latency,m1_total_input_token,m2_total_input_token,m3_total_input_token,m1_total_output_token,m2_total_output_token,m3_total_output_token,m1_k,m2_k,m3_k,m1_judge_score,m2_judge_score,m3_judge_score
33,1640.8205032348633,2110.351085662842,5180.459260940552,283,763,965,38,42,104,3,10,10,1.0,1.0,1.0
34,2299.5450496673584,2215.1644229888916,4922.123432159424,168,746,912,20,37,87,3,10,10,1.0,1.0,1.0
35,1789.7672653198242,2257.4472427368164,3736.9601726531982,203,122,294,30,50,72,3,1,1,1.0,0.33,0.33
36,1095.1855182647705,2176.9046783447266,3184.2308044433594,233,751,919,18,35,46,3,10,10,1.0,1.0,1.0
37,2240.975856781006,2672.68967628479,4325.36506652832,222,614,906,49,59,83,3,8,10,1.0,0.87,1.0
38,4380.385875701904,4405.026912689209,6674.1063594818115,186,686,840,190,157,198,3,10,10,0.43,0.53,0.53
39,1786.620855331421,2022.1810340881348,4063.7402534484863,202,133,717,55,24,70,3,1,8,1.0,1.0,0.6
40,2018.9237594604492,3132.8868865966797,5966.16268157959,281,839,1009,52,98,156,3,10,10,0.17,0.17,0.17
41,945.559024810791,1919.0938472747803,3587.7418518066406,340,723,684,13,27,55,3,8,5,1.0,1.0,1.0
42,980.215311050415,3262.5744342803955,5596.310377120972,217,685,831,10,66,85,3,9,9,0.9,1.0,1.0
43,952.608585357666,2179.246425628662,3222.0749855041504,172,605,755,10,22,42,3,10,10,1.0,1.0,1.0
44,1578.8636207580566,2830.019950866699,4848.796129226685,180,533,650,22,48,95,3,9,8,1.0,1.0,1.0
45,1824.1934776306152,3282.7696800231934,5688.797235488892,178,691,873,50,71,132,3,10,10,0.17,0.17,0.17
46,1121.6843128204346,2164.245367050171,4419.633865356445,212,541,527,15,32,74,3,9,5,1.0,1.0,1.0
47,1220.7226753234863,3232.0377826690674,4077.1830081939697,234,170,352,14,28,56,3,1,1,1.0,1.0,1.0
48,1491.002082824707,1956.1560153961182,4554.624795913696,228,647,581,24,33,96,3,8,5,1.0,1.0,1.0
49,1253.870964050293,2073.0178356170654,4352.091550827026,304,157,325,27,44,82,3,1,1,0.17,0.17,0.17
50,5239.323854446411,4460.873603820801,7881.0319900512695,208,570,732,238,151,220,3,10,10,0.85,0.9,0.9
51,1127.016305923462,2274.7323513031006,5331.475257873535,300,698,874,23,48,95,3,8,8,1.0,1.0,1.0
52,2014.3721103668213,1868.138313293457,4015.7389640808105,363,770,769,21,35,61,3,7,5,0.97,0.97,0.97
53,2081.557035446167,3832.850217819214,4421.407222747803,225,762,898,61,93,101,3,10,9,0.43,0.43,0.43
54,1432.774543762207,2369.4615364074707,3861.0448837280273,339,883,1049,25,31,54,3,10,10,0.27,0.27,0.27
55,2062.007188796997,2227.5943756103516,4862.671136856079,190,442,506,33,38,99,3,7,5,0.97,0.97,0.98
56,1569.3352222442627,2271.186590194702,4392.0440673828125,247,686,912,28,41,86,3,10,10,1.0,0.97,1.0
57,997.3409175872803,1780.0848484039307,3403.9266109466553,318,880,1032,10,23,47,3,8,8,1.0,1.0,1.0
58,1661.5502834320068,3265.6047344207764,5288.072824478149,165,629,803,44,49,103,3,8,8,1.0,1.0,1.0
59,1150.7172584533691,2049.8342514038086,4157.6714515686035,207,727,968,20,41,85,3,8,9,1.0,1.0,1.0
60,5004.096508026123,3898.5495567321777,8234.532594680786,202,652,816,67,82,95,3,10,10,0.17,0.5,1.0
61,1324.2194652557373,2346.8003273010254,4700.146675109863,214,123,283,18,35,67,3,1,1,1.0,1.0,0.97
62,4483.200550079346,3194.091558456421,5044.4655418396,300,768,952,114,63,72,3,10,10,0.17,0.17,0.17
63,2402.8444290161133,2975.5749702453613,5961.371898651123,262,137,299,50,68,98,3,1,1,1.0,1.0,1.0
64,1219.7792530059814,2724.6651649475098,5829.386949539185,251,712,870,15,39,110,3,10,10,1.0,1.0,1.0
65,1454.8075199127197,2363.2078170776367,4398.756504058838,386,853,947,15,39,75,3,8,7,0.97,0.97,0.97
66,2259.155035018921,3750.7739067077637,5689.264297485352,258,580,376,31,55,103,3,7,1,1.0,1.0,1.0
67,2230.64923286438,4454.242706298828,8473.409414291382,255,721,883,60,124,216,3,8,8,0.9,0.95,1.0
68,1587.3620510101318,2631.101131439209,5427.609443664551,214,676,846,36,56,79,3,10,10,0.97,1.0,1.0
69,1250.0388622283936,2124.642848968506,4377.360820770264,197,649,561,15,30,60,3,10,6,1.0,1.0,1.0
70,2430.975914001465,2499.976396560669,4436.213254928589,176,494,284,35,56,71,3,9,1,0.17,0.17,0.17
71,1618.9837455749512,2988.666772842407,6745.995998382568,298,154,951,34,58,137,3,1,9,1.0,0.97,1.0
72,2657.8876972198486,3756.4454078674316,5779.746770858765,818,762,1001,73,78,110,3,2,3,0.85,0.9,0.93
73,1770.4472541809082,2781.881093978882,5154.796361923218,199,589,811,34,60,110,3,9,10,0.87,0.87,0.87
74,1549.5800971984863,3290.534257888794,5626.126527786255,224,139,813,33,59,122,3,1,8,0.27,0.27,1.0
75,1131.0067176818848,2050.4825115203857,3710.0353240966797,438,142,296,11,22,44,3,1,1,1.0,1.0,1.0
76,1510.810375213623,2694.1568851470947,6093.085527420044,239,633,898,28,56,112,3,9,10,0.17,1.0,1.0
77,2917.17529296875,2853.159189224243,4648.331642150879,173,618,786,56,37,70,3,10,10,0.17,1.0,1.0
78,1505.1255226135254,2059.9758625030518,4710.721254348755,270,459,338,21,34,76,3,5,2,0.93,0.93,0.97
79,4732.436418533325,7470.918416976929,11063.387870788574,317,828,1006,61,96,164,3,10,10,0.9,0.9,0.95
80,1019.8633670806885,2612.9777431488037,3908.9455604553223,168,576,433,12,31,56,3,8,4,1.0,1.0,1.0
81,1360.8670234680176,3014.3802165985107,4989.376544952393,272,155,470,17,42,92,3,1,3,1.0,1.0,1.0
82,1169.828176498413,2482.947826385498,3774.88112449646,188,725,883,16,24,46,3,10,10,1.0,1.0,1.0
83,4173.327445983887,8118.438959121704,11191.035509109497,225,754,930,256,306,381,3,10,10,0.83,0.87,0.87
84,2371.3955879211426,5102.715730667114,6954.007625579834,194,664,816,62,157,198,3,10,10,0.57,0.9,0.57
85,1279.6149253845215,2487.704038619995,4488.81983757019,222,149,315,22,41,88,3,1,1,1.0,1.0,1.0
86,1197.279691696167,2519.0935134887695,4027.543544769287,250,157,319,15,30,60,3,1,1,1.0,1.0,1.0
87,2487.232446670532,2537.686824798584,4905.472755432129,233,633,837,88,60,99,3,10,10,0.07,1.0,1.0
88,1421.0052490234375,1886.7228031158447,4887.184381484985,265,550,834,33,40,78,3,6,7,1.0,1.0,1.0
89,2496.906280517578,2891.4101123809814,7147.046804428101,264,767,935,59,67,127,3,10,10,0.53,0.95,0.95
90,1242.2645092010498,2537.4176502227783,5186.556816101074,266,364,898,24,57,108,3,4,10,1.0,1.0,1.0
91,1006.8264007568359,2272.606134414673,4849.787950515747,248,715,871,18,37,79,3,8,8,1.0,1.0,1.0
92,979.292631149292,1686.8114471435547,3868.9286708831787,160,622,622,11,15,46,3,9,7,1.0,1.0,1.0
93,2175.5714416503906,3008.2361698150635,5610.736608505249,234,711,877,57,88,142,3,10,10,0.92,0.95,0.97
94,1349.5872020721436,2747.076988220215,6250.777959823608,233,512,813,31,54,109,3,7,9,1.0,1.0,1.0
95,1033.8244438171387,2861.821413040161,4251.854419708252,231,631,787,11,43,78,3,9,9,1.0,1.0,1.0
96,2543.476343154907,3915.4911041259766,6533.243179321289,253,901,1059,91,107,182,3,10,10,0.57,1.0,1.0
97,1347.5768566131592,2245.0995445251465,3696.899175643921,354,851,1013,17,33,64,3,8,8,1.0,1.0,1.0
98,1025.362253189087,2941.0786628723145,5272.931814193726,172,676,832,14,41,74,3,8,8,0.9,0.9333333333333333,0.9
99,1578.0665874481201,2195.619583129883,4047.44815826416,223,324,570,31,39,70,3,4,6,1.0,1.0,1.0
