sample_id,query,difficulty,entropy,k_determined
49,dropout hoạt động như thế nào,trung_bình,0.2748998583758401,0
50,giải thích batch normalization,trung_bình,0.3342566552567781,0
51,transfer learning là gì,trung_bình,0.23362711655892435,0
52,khác biệt giữa rnn và lstm,trung_bình,0.2474130458689268,0
53,convolutional layer hoạt động như thế nào,trung_bình,0.22977375846960257,0
54,giải thích pooling trong cnn,trung_bình,0.27339730558389547,0
55,data augmentation là gì,trung_bình,0.29238779376078883,0
56,khác biệt giữa precision và recall,trung_bình,0.20472238083591707,0
57,giải thích f1 score,trung_bình,0.23029333542591857,0
58,confusion matrix là gì,trung_bình,0.29228912208760727,0
59,k-means clustering hoạt động như thế nào,trung_bình,0.34192490232259387,0
60,khác biệt giữa random forest và gradient boosting,trung_bình,0.29639752798521624,0
61,giải thích feature selection,trung_bình,0.29715004787986904,0
62,dimensionality reduction là gì,trung_bình,0.36546085151681973,0
63,khác biệt giữa svm và logistic regression,trung_bình,0.25828316179096394,0
64,ensemble learning hoạt động như thế nào,trung_bình,0.25192859350187535,0
65,giải thích bias-variance tradeoff,trung_bình,0.30195509385349273,0
66,early stopping là gì,trung_bình,0.3012869587668266,0
67,khác biệt giữa validation và test set,trung_bình,0.18609417621542826,0
68,hyperparameter tuning hoạt động như thế nào,trung_bình,0.30617083679072093,0
69,thiết kế một mô hình deep learning để xử lý văn bản đa ngôn ngữ có dấu,khó,0.21076873682029346,0
70,phân tích trade-off giữa model complexity và generalization trong transformer,khó,0.331773116596566,0
71,giải thích chi tiết về backpropagation trong neural network nhiều lớp có skip connections,khó,0.420658239352706,0
72,"so sánh các kiến trúc GAN hiện đại: StyleGAN, BigGAN, và Progressive GAN cùng trade-offs",khó,0.26727500652883013,0
73,làm thế nào để optimize training của large language model với limited computational resources,khó,0.2242893219129117,0
74,phân tích các kỹ thuật regularization trong deep learning và khi nào dùng technique nào,khó,0.1755435235100987,0
75,thiết kế transformer architecture tối ưu cho ngôn ngữ low-resource,khó,0.3148457642292562,0
76,giải thích nền tảng toán học của self-attention mechanism trong transformer,khó,0.3437215580667876,0
77,"so sánh các thuật toán optimization: Adam, SGD, và RMSprop cùng trade-offs và use cases",khó,0.21767725611539135,0
78,"phân tích mối quan hệ giữa batch size, learning rate và training stability trong deep learning",khó,0.23615122851809645,0
79,thiết kế một hệ thống end-to-end cho real-time object detection sử dụng deep learning,khó,0.2953089573908028,0
80,giải thích cách xử lý class imbalance trong multi-class classification problems,khó,0.38990262796410396,0
81,phân tích tác động của các loss functions khác nhau lên training convergence và model performance,khó,0.18341958181861062,0
82,thiết kế một chiến lược neural architecture search cho automated model design,khó,0.227987782697457,0
83,giải thích các nguyên tắc toán học đằng sau variational autoencoders,khó,0.3345118054400658,0
84,"so sánh các approaches khác nhau cho sequence-to-sequence learning: attention, transformers, và CNNs",khó,0.27929019993171755,0
85,phân tích các challenges và solutions cho training deep neural networks trên small datasets,khó,0.2880711699793959,0
86,giải thích cách implement gradient clipping để prevent exploding gradients trong RNNs,khó,0.2314986754252195,0
87,thiết kế một multi-task learning framework chia sẻ knowledge giữa các related tasks,khó,0.32647491550872365,0
88,phân tích các theoretical guarantees và limitations của các deep learning architectures khác nhau,khó,0.24113659364863307,0
89,giải thích cách sử dụng knowledge distillation để compress large models thành smaller ones,khó,0.27032870048198776,0
90,so sánh các approaches khác nhau để xử lý missing data trong deep learning pipelines,khó,0.26448572996720626,0
91,phân tích vai trò của các activation functions khác nhau trong addressing vanishing gradient problem,khó,0.2796607413351765,0
92,thiết kế một federated learning system cho training models trên distributed data sources,khó,0.27648807486026405,0
93,giải thích cách implement curriculum learning để improve model training,khó,0.33447966687011366,0
94,so sánh các strategies khác nhau để xử lý imbalanced datasets trong deep learning,khó,0.22467999292304353,0
95,phân tích tác động của các normalization techniques khác nhau lên model performance,khó,0.23114542104178978,0
96,thiết kế một system cho online learning adapt với changing data distributions,khó,0.1732785112280206,0
97,giải thích nền tảng toán học của generative adversarial networks,khó,0.2635124332871227,0
98,phân tích trade-offs giữa model interpretability và performance trong deep learning,khó,0.267864609261334,0
99,thiết kế một neural architecture có thể xử lý cả image và text inputs đồng thời,khó,0.34269901263145275,0
100,giải thích cách implement continual learning để prevent catastrophic forgetting,khó,0.3325015083596365,0
101,"so sánh các approaches khác nhau cho model compression: pruning, quantization, và distillation",khó,0.2667356176384533,0
