sample_id,query,difficulty,entropy,k_determined
62,what is dimensionality reduction,medium,0.273903927742322,0
63,difference between svm and logistic regression,medium,0.1481290534739112,0
64,how does ensemble learning work,medium,0.25947869280475544,0
65,explain bias-variance tradeoff,medium,0.22961149267063571,0
66,what is early stopping,medium,0.2798556758752989,0
67,difference between validation and test set,medium,0.3352510682315304,0
68,how does hyperparameter tuning work,medium,0.2530589278135833,0
69,design a deep learning model to process multilingual text with diacritics,hard,0.33128248675388355,0
70,analyze the trade-off between model complexity and generalization in transformers,hard,0.2880001333136652,0
71,explain in detail how backpropagation works in multi-layer neural networks with skip connections,hard,0.3913393920458925,0
72,"compare modern GAN architectures: StyleGAN, BigGAN, and Progressive GAN with their trade-offs",hard,0.5870669978638529,1
73,how to optimize training of large language models with limited computational resources,hard,0.3358889435291983,0
74,analyze different regularization techniques in deep learning and when to use each,hard,0.2041661643285084,0
75,design a transformer architecture optimized for low-resource languages,hard,0.3895945385445402,0
76,explain the mathematical foundations of self-attention mechanism in transformers,hard,0.4202384146705636,0
77,"compare different optimization algorithms: Adam, SGD, and RMSprop with their trade-offs and use cases",hard,0.4655632503939841,0
78,"analyze the relationship between batch size, learning rate, and training stability in deep learning",hard,0.3240642939416162,0
79,design an end-to-end system for real-time object detection using deep learning,hard,0.3476233490125874,0
80,explain how to handle class imbalance in multi-class classification problems,hard,0.1554449722385187,0
81,analyze the impact of different loss functions on training convergence and model performance,hard,0.376934914798153,0
82,design a neural architecture search strategy for automated model design,hard,0.3407511556849872,0
83,explain the mathematical principles behind variational autoencoders,hard,0.3174559465537679,0
84,"compare different approaches to sequence-to-sequence learning: attention, transformers, and CNNs",hard,0.4569491808009209,0
85,analyze the challenges and solutions for training deep neural networks on small datasets,hard,0.30899861052521777,0
86,explain how to implement gradient clipping to prevent exploding gradients in RNNs,hard,0.23216826385309344,0
87,design a multi-task learning framework that shares knowledge across related tasks,hard,0.6155056833484934,1
88,analyze the theoretical guarantees and limitations of different deep learning architectures,hard,0.3545974018289552,0
89,explain how to use knowledge distillation to compress large models into smaller ones,hard,0.3613091004130728,0
90,compare different approaches to handling missing data in deep learning pipelines,hard,0.34042900732375136,0
91,analyze the role of different activation functions in addressing vanishing gradient problem,hard,0.28021884333341485,0
92,design a federated learning system for training models across distributed data sources,hard,0.31858073408815224,0
93,explain how to implement curriculum learning for improving model training,hard,0.4396418791396928,0
94,compare different strategies for handling imbalanced datasets in deep learning,hard,0.18869328114811268,0
95,analyze the impact of different normalization techniques on model performance,hard,0.4106845681242986,0
96,design a system for online learning that adapts to changing data distributions,hard,0.467818985681617,0
97,explain the mathematical foundations of generative adversarial networks,hard,0.28576520174026954,0
98,analyze the trade-offs between model interpretability and performance in deep learning,hard,0.3433993755041011,0
99,design a neural architecture that can handle both image and text inputs simultaneously,hard,0.2844946094092548,0
100,explain how to implement continual learning to prevent catastrophic forgetting,hard,0.24931753356800207,0
101,"compare different approaches to model compression: pruning, quantization, and distillation",hard,0.3950214845943144,0
